genre,color,font_size,left,top
rock potiguar,"rgb(182, 119, 51)",100%,507px,8354px
rock nica,"rgb(194, 125, 90)",100%,852px,3501px
metal noir quebecois,"rgb(213, 65, 149)",100%,80px,8931px
indie hidalguense,"rgb(134, 147, 24)",100%,681px,8931px
singaporean punk,"rgb(218, 85, 48)",100%,290px,7196px
sindhi,"rgb(195, 111, 6)",100%,865px,11016px
molam,"rgb(149, 139, 50)",100%,858px,11746px
russian jazz,"rgb(90, 141, 84)",100%,763px,17817px
estonian metal,"rgb(218, 92, 98)",100%,282px,5166px
senegalese traditional,"rgb(139, 127, 76)",100%,1035px,15632px
circassian folk,"rgb(173, 135, 45)",100%,695px,6921px
new jack smooth,"rgb(153, 140, 15)",100%,922px,5134px
re:techno,"rgb(224, 120, 213)",100%,1152px,43px
anime game,"rgb(178, 125, 104)",100%,389px,5935px
rock sergipano,"rgb(182, 116, 38)",100%,489px,9031px
hungarian black metal,"rgb(207, 76, 152)",100%,94px,7739px
rap paraguayo,"rgb(160, 147, 19)",100%,1129px,6081px
dark black metal,"rgb(219, 44, 142)",100%,29px,10561px
musique peule,"rgb(142, 136, 36)",100%,946px,13717px
chilean techno,"rgb(202, 130, 204)",100%,1021px,1370px
brazilian rockabilly,"rgb(193, 110, 32)",100%,541px,9848px
colorado hardcore,"rgb(231, 73, 54)",100%,234px,8894px
marimba,"rgb(39, 177, 192)",100%,807px,20560px
classical flute,"rgb(39, 168, 167)",100%,416px,20532px
balafon,"rgb(128, 150, 111)",100%,1087px,15554px
northamptonshire indie,"rgb(169, 131, 71)",100%,436px,5959px
indonesian experimental,"rgb(139, 128, 165)",100%,389px,13627px
gotico brasileiro,"rgb(193, 119, 85)",100%,418px,4231px
bolivian metal,"rgb(207, 101, 57)",100%,305px,7569px
romanian black metal,"rgb(206, 84, 128)",100%,95px,8830px
deep free jazz,"rgb(74, 141, 104)",100%,643px,18395px
irish gaelic folk,"rgb(47, 170, 19)",100%,602px,19814px
classic female blues,"rgb(62, 147, 31)",100%,1031px,20691px
caucasian classical piano,"rgb(33, 164, 210)",100%,509px,21966px
nhac thieu nhi,"rgb(156, 136, 13)",100%,954px,6834px
trio cubano,"rgb(118, 139, 34)",100%,1141px,17329px
metal tico,"rgb(212, 83, 86)",100%,254px,8634px
dub product,"rgb(135, 148, 164)",100%,1318px,4965px
american classical piano,"rgb(28, 165, 216)",100%,522px,21027px
croatian electronic,"rgb(208, 125, 199)",100%,1181px,369px
rap nica,"rgb(138, 150, 50)",100%,1094px,5621px
yuri,"rgb(158, 135, 110)",100%,625px,7282px
taiko,"rgb(113, 128, 186)",100%,1025px,15296px
slash punk,"rgb(232, 55, 83)",100%,174px,10207px
trap kreyol,"rgb(174, 141, 0)",100%,1132px,6880px
nyahbinghi,"rgb(136, 130, 73)",100%,1127px,10320px
classical countertenor,"rgb(40, 160, 22)",100%,426px,21198px
macedonian rock,"rgb(178, 122, 65)",100%,538px,8439px
danish electro,"rgb(180, 134, 141)",100%,761px,1890px
hakkapop,"rgb(120, 146, 14)",100%,690px,10415px
tar,"rgb(83, 159, 146)",100%,749px,19515px
terrorcore,"rgb(224, 91, 156)",100%,816px,1407px
musica piauiense,"rgb(142, 146, 15)",100%,861px,11498px
experimental percussion,"rgb(109, 123, 145)",100%,560px,15025px
paracana,"rgb(117, 149, 81)",100%,574px,12414px
canadian choir,"rgb(30, 159, 100)",100%,163px,21687px
rap potiguar,"rgb(150, 141, 9)",100%,1050px,9587px
himalayan folk,"rgb(81, 162, 77)",100%,548px,16673px
jazz tuba,"rgb(74, 150, 157)",100%,826px,17018px
vintage finnish jazz,"rgb(75, 151, 13)",100%,671px,18969px
alaska hip hop,"rgb(150, 146, 14)",100%,1046px,7836px
swedish contemporary classical,"rgb(33, 157, 126)",100%,232px,20589px
italian progressive metal,"rgb(199, 109, 57)",100%,252px,7036px
men's choir,"rgb(55, 132, 45)",100%,177px,21328px
ringtone,"rgb(108, 119, 82)",100%,831px,9379px
kosovan indie,"rgb(143, 136, 44)",100%,538px,10966px
euro hi-nrg,"rgb(220, 118, 57)",100%,912px,1047px
rap gasy,"rgb(164, 141, 13)",100%,1139px,7762px
thrash-groove metal,"rgb(229, 78, 46)",100%,275px,4965px
muzica maramureseana,"rgb(115, 158, 22)",100%,739px,15522px
american early music,"rgb(29, 164, 49)",100%,307px,21039px
dombra,"rgb(105, 148, 139)",100%,993px,16329px
izvorna muzika,"rgb(187, 122, 6)",100%,839px,13974px
appalachian black metal,"rgb(187, 82, 162)",100%,76px,11113px
lagu betawi,"rgb(156, 141, 19)",100%,869px,10280px
irish ballad,"rgb(56, 161, 12)",100%,487px,20654px
macau pop,"rgb(145, 141, 15)",100%,557px,8845px
classical trombone,"rgb(44, 157, 187)",100%,442px,20433px
kikuyu pop,"rgb(177, 130, 9)",100%,1177px,10881px
musica blumenauense,"rgb(154, 139, 33)",100%,637px,10611px
kentucky mountain folk,"rgb(79, 154, 55)",100%,902px,19773px
musica ecuatoguineana,"rgb(168, 137, 5)",100%,1010px,11572px
tanzorchester,"rgb(112, 138, 95)",100%,877px,13839px
christian symphonic metal,"rgb(187, 107, 68)",100%,177px,7848px
duhovne pjesme,"rgb(132, 147, 6)",100%,474px,11772px
alandsk musik,"rgb(131, 135, 55)",100%,502px,12551px
lok dohori,"rgb(168, 139, 4)",100%,687px,11672px
swiss experimental,"rgb(127, 122, 148)",100%,816px,12303px
salon music,"rgb(59, 163, 128)",100%,453px,18694px
musique ancienne,"rgb(39, 168, 128)",100%,217px,19974px
marinera,"rgb(153, 131, 50)",100%,991px,12937px
deep active rock,"rgb(217, 102, 21)",100%,236px,3456px
pipa,"rgb(57, 165, 175)",100%,846px,19945px
colombian black metal,"rgb(216, 64, 130)",100%,101px,10978px
deep surf music,"rgb(180, 119, 170)",100%,455px,11596px
cape breton indie,"rgb(143, 144, 9)",100%,567px,10282px
thai worship,"rgb(122, 153, 68)",100%,752px,6797px
chinese punk,"rgb(211, 96, 28)",100%,418px,6684px
russian thrash metal,"rgb(228, 82, 45)",100%,315px,5001px
kolo,"rgb(170, 133, 134)",100%,833px,11722px
otroske pesmice,"rgb(112, 150, 16)",100%,826px,13962px
french experimental rock,"rgb(155, 125, 105)",100%,483px,11920px
indonesian bamboo,"rgb(127, 152, 132)",100%,811px,13901px
musica mato-grossense,"rgb(143, 134, 48)",100%,625px,13114px
post-punk colombiano,"rgb(190, 122, 96)",100%,518px,3628px
deep pop emo,"rgb(209, 100, 17)",100%,307px,5403px
lai hla,"rgb(142, 149, 7)",100%,595px,9574px
cantonese opera,"rgb(94, 159, 8)",100%,555px,15895px
rhythm rock,"rgb(185, 101, 57)",100%,732px,14554px
tulum,"rgb(165, 125, 68)",100%,405px,13727px
iranian experimental,"rgb(101, 136, 176)",100%,271px,15526px
indie queretano,"rgb(173, 127, 58)",100%,550px,6748px
irish experimental electronic,"rgb(157, 134, 180)",100%,791px,5367px
punk ecuatoriano,"rgb(215, 92, 44)",100%,432px,10021px
spanish death metal,"rgb(227, 71, 141)",100%,194px,8464px
kapa haka,"rgb(68, 134, 6)",100%,442px,19400px
musica colimense,"rgb(148, 138, 4)",100%,1006px,13391px
korean punk,"rgb(220, 89, 30)",100%,328px,6874px
dhrupad,"rgb(87, 143, 78)",100%,474px,18682px
orquesta cubana,"rgb(152, 122, 81)",100%,942px,15554px
vintage country folk,"rgb(81, 145, 44)",100%,977px,20490px
autoharp,"rgb(112, 150, 40)",100%,704px,15076px
indonesian thrash metal,"rgb(216, 91, 48)",100%,432px,5823px
edinburgh metal,"rgb(213, 87, 109)",100%,179px,9129px
unblack metal,"rgb(213, 72, 125)",100%,125px,8205px
delaware indie,"rgb(190, 110, 45)",100%,375px,8403px
sardinia indie,"rgb(173, 123, 77)",100%,465px,7544px
belgian hardcore,"rgb(221, 83, 76)",100%,271px,10695px
canadian stoner rock,"rgb(207, 101, 94)",100%,177px,10341px
italian modern prog,"rgb(129, 143, 84)",100%,260px,11547px
synthetic classical,"rgb(89, 159, 169)",100%,432px,13936px
frafra,"rgb(182, 132, 23)",100%,1141px,9949px
bikutsi,"rgb(208, 122, 15)",100%,1006px,8661px
zither,"rgb(90, 160, 168)",100%,975px,19141px
dutch contemporary classical,"rgb(43, 151, 156)",100%,391px,20339px
charred death,"rgb(225, 68, 110)",100%,125px,6972px
haitian traditional,"rgb(113, 139, 91)",100%,964px,16989px
korean experimental,"rgb(126, 134, 152)",100%,442px,12278px
botswana traditional,"rgb(146, 140, 15)",100%,946px,8751px
spanish stoner rock,"rgb(190, 117, 82)",100%,264px,7665px
italian baroque ensemble,"rgb(34, 167, 49)",100%,361px,20375px
middle eastern traditional,"rgb(101, 150, 110)",100%,742px,18654px
muzica banateana,"rgb(149, 143, 29)",100%,894px,13925px
classical mezzo-soprano,"rgb(44, 157, 19)",100%,399px,21357px
piada,"rgb(135, 114, 5)",100%,1296px,18941px
rock in opposition,"rgb(128, 129, 105)",100%,487px,14121px
assamese hip hop,"rgb(145, 153, 15)",100%,977px,8011px
cerkes muzikleri,"rgb(187, 138, 31)",100%,761px,6259px
musica rondoniense,"rgb(153, 139, 27)",100%,687px,7172px
theremin,"rgb(89, 154, 144)",100%,389px,15841px
metalcore espanol,"rgb(226, 87, 51)",100%,251px,5662px
deep space rock,"rgb(166, 116, 130)",100%,317px,10353px
caucasian folk,"rgb(70, 157, 58)",100%,319px,19670px
metal salvadoreno,"rgb(208, 94, 52)",100%,389px,10966px
rabm,"rgb(201, 66, 166)",100%,52px,9219px
italian blues,"rgb(143, 137, 60)",100%,742px,12402px
instrumental black metal,"rgb(156, 103, 198)",100%,27px,9352px
rock catarinense,"rgb(192, 116, 41)",100%,379px,6499px
beat poetry,"rgb(72, 124, 23)",100%,1006px,18625px
rock pernambucano,"rgb(193, 110, 33)",100%,424px,8586px
rap paraense,"rgb(147, 145, 5)",100%,1085px,10601px
lithuanian metal,"rgb(216, 81, 97)",100%,154px,7048px
rakugo,"rgb(78, 99, 30)",100%,1227px,18883px
borneo traditional,"rgb(109, 158, 143)",100%,863px,13619px
musica rapa nui,"rgb(129, 149, 54)",100%,798px,12104px
serbian metal,"rgb(218, 86, 63)",100%,201px,7539px
skiffle,"rgb(152, 125, 8)",100%,906px,14548px
pontianak indie,"rgb(153, 140, 21)",100%,491px,9104px
musica acoriana,"rgb(134, 150, 42)",100%,796px,9736px
albanian folk,"rgb(121, 141, 43)",100%,432px,16846px
german contemporary classical,"rgb(30, 145, 102)",100%,357px,20666px
vintage radio show,"rgb(67, 112, 6)",100%,1367px,16473px
swedish choir,"rgb(33, 157, 60)",100%,124px,21794px
kinnauri pop,"rgb(201, 128, 17)",100%,846px,3284px
ceilidh,"rgb(142, 146, 92)",100%,719px,12948px
mapouka,"rgb(187, 125, 20)",100%,1170px,3544px
classic nz country,"rgb(93, 150, 41)",100%,761px,15236px
brazilian heavy metal,"rgb(227, 85, 55)",100%,212px,5440px
vintage classical singing,"rgb(49, 163, 30)",100%,373px,22183px
russian modern jazz,"rgb(101, 145, 162)",100%,587px,16042px
italian soprano,"rgb(50, 158, 30)",100%,332px,21676px
rozpravky,"rgb(109, 130, 1)",100%,1000px,15142px
gwoka,"rgb(174, 114, 54)",100%,1031px,13379px
slc hardcore,"rgb(219, 80, 83)",100%,236px,9365px
early french punk,"rgb(202, 99, 41)",100%,516px,7507px
deep swedish rock,"rgb(196, 107, 18)",100%,385px,7184px
moravian folk,"rgb(72, 163, 14)",100%,468px,20060px
christian doom metal,"rgb(183, 111, 77)",100%,239px,10500px
gypsy,"rgb(109, 150, 93)",100%,622px,17276px
australian rockabilly,"rgb(188, 112, 20)",100%,656px,11521px
guggenmusik,"rgb(214, 58, 150)",100%,579px,13838px
electroacoustic composition,"rgb(81, 103, 119)",100%,377px,18120px
musica campineira,"rgb(142, 141, 25)",100%,602px,10879px
modern performance,"rgb(46, 148, 121)",100%,348px,19773px
saxony metal,"rgb(218, 88, 83)",100%,199px,6635px
modern downshift,"rgb(201, 112, 15)",100%,391px,5063px
prank,"rgb(121, 92, 8)",100%,1263px,19801px
finnish techno,"rgb(178, 134, 208)",100%,1083px,1593px
kosovan folk,"rgb(143, 141, 12)",100%,474px,15136px
welsh choir,"rgb(49, 134, 48)",100%,148px,21651px
bohol indie,"rgb(148, 139, 14)",100%,589px,8008px
deep hardcore,"rgb(202, 114, 145)",100%,928px,1578px
ceske chvaly,"rgb(135, 148, 12)",100%,610px,10379px
mising pop,"rgb(170, 144, 0)",100%,782px,10169px
guqin,"rgb(28, 154, 135)",100%,966px,21696px
indie nica,"rgb(142, 143, 62)",100%,800px,7357px
humour francais,"rgb(126, 96, 2)",100%,1110px,19843px
trombone brasileiro,"rgb(119, 145, 157)",100%,975px,15653px
new england experimental,"rgb(114, 124, 172)",100%,379px,14333px
modern free jazz,"rgb(82, 141, 132)",100%,640px,18080px
punk tico,"rgb(224, 92, 24)",100%,363px,7581px
somatik techno,"rgb(166, 141, 178)",100%,1103px,2131px
vapor house,"rgb(182, 128, 126)",100%,1035px,2896px
kikuyu gospel,"rgb(183, 131, 2)",100%,979px,7480px
djembe,"rgb(154, 123, 155)",100%,1256px,15394px
dytyachi pisni,"rgb(148, 143, 9)",100%,877px,8061px
rock dominicano,"rgb(199, 103, 39)",100%,393px,8894px
normal indie,"rgb(146, 130, 54)",100%,529px,11338px
sound collage,"rgb(133, 107, 92)",100%,628px,14739px
lincoln ne indie,"rgb(156, 130, 37)",100%,468px,10707px
detskie rasskazy,"rgb(55, 126, 1)",100%,1263px,19400px
belgian experimental,"rgb(99, 141, 162)",100%,461px,14604px
bandura,"rgb(87, 156, 77)",100%,502px,17592px
bulgarian metal,"rgb(207, 99, 74)",100%,258px,7060px
czsk black metal,"rgb(217, 69, 107)",100%,95px,8979px
chill groove,"rgb(150, 149, 182)",100%,1057px,3543px
lithuanian jazz,"rgb(92, 145, 98)",100%,759px,16415px
moorish traditional,"rgb(125, 130, 43)",100%,940px,14487px
neo-trad doom metal,"rgb(181, 116, 64)",100%,227px,11089px
black noise,"rgb(184, 29, 169)",100%,29px,12082px
classical bass,"rgb(54, 144, 49)",100%,403px,21557px
turkish black metal,"rgb(186, 93, 154)",100%,188px,9488px
finnish contemporary classical,"rgb(29, 152, 127)",100%,184px,21398px
rock sul-mato-grossense,"rgb(192, 114, 32)",100%,491px,6848px
metal galego,"rgb(226, 78, 82)",100%,192px,6610px
norwegian choir,"rgb(44, 160, 71)",100%,163px,20675px
idaho hip hop,"rgb(152, 139, 9)",100%,1064px,9151px
polish noise rock,"rgb(174, 112, 121)",100%,284px,10868px
field recording,"rgb(92, 91, 154)",100%,262px,17104px
recorder,"rgb(37, 169, 110)",100%,455px,19801px
historic classical performance,"rgb(36, 163, 170)",100%,768px,21724px
portuguese contemporary classical,"rgb(39, 160, 131)",100%,416px,20727px
brazilian grindcore,"rgb(233, 42, 109)",100%,148px,10966px
santur,"rgb(100, 151, 179)",100%,541px,18481px
folclore extremeno,"rgb(136, 134, 20)",100%,886px,13656px
organetto,"rgb(151, 145, 131)",100%,1074px,12938px
orkney and shetland folk,"rgb(98, 163, 88)",100%,511px,17506px
slovak metal,"rgb(221, 87, 91)",100%,230px,6848px
brazilian surf rock,"rgb(207, 108, 130)",100%,401px,7532px
cuatro puertorriqueno,"rgb(137, 144, 55)",100%,987px,13876px
soda pop,"rgb(129, 130, 11)",100%,674px,15000px
jazz caraibes,"rgb(134, 143, 127)",100%,914px,14795px
brass quintet,"rgb(42, 166, 211)",100%,543px,20751px
ladakhi pop,"rgb(142, 148, 11)",100%,822px,5646px
classical baritone,"rgb(53, 145, 31)",100%,432px,21210px
ukrainian choir,"rgb(50, 152, 50)",100%,83px,22040px
mexican power metal,"rgb(209, 103, 41)",100%,252px,6697px
string orchestra,"rgb(44, 168, 146)",100%,311px,19785px
quebec metal,"rgb(225, 81, 47)",100%,294px,5712px
folklore panameno,"rgb(168, 128, 22)",100%,950px,14903px
deep hardcore punk,"rgb(212, 82, 47)",100%,338px,10683px
malawian folk,"rgb(115, 145, 16)",100%,1000px,14451px
twin cities indie,"rgb(155, 130, 34)",100%,516px,9562px
deep neo-synthpop,"rgb(196, 131, 81)",100%,651px,1363px
metal paraguayo,"rgb(221, 81, 62)",100%,234px,8805px
baroque singing,"rgb(11, 181, 146)",100%,413px,18654px
deep motown,"rgb(156, 125, 17)",100%,742px,14359px
russian screamo,"rgb(207, 103, 65)",100%,232px,9228px
italian classical guitar,"rgb(50, 173, 215)",100%,922px,20031px
antilliaanse folklore,"rgb(137, 141, 57)",100%,1008px,13355px
cathedral choir,"rgb(33, 152, 61)",100%,71px,21609px
czech hardcore,"rgb(227, 87, 25)",100%,328px,5501px
polish classical piano,"rgb(28, 165, 215)",100%,507px,22241px
italian rockabilly,"rgb(191, 114, 44)",100%,724px,10182px
korean traditional,"rgb(56, 152, 110)",100%,904px,19010px
bury st edmunds indie,"rgb(177, 107, 54)",100%,352px,11003px
british electroacoustic,"rgb(68, 134, 123)",100%,350px,17690px
h8000,"rgb(213, 92, 63)",100%,298px,10917px
gong,"rgb(117, 147, 155)",100%,826px,17850px
czech jazz,"rgb(85, 152, 139)",100%,756px,17219px
gospel papiamento,"rgb(161, 146, 5)",100%,784px,7404px
palm wine guitar,"rgb(136, 132, 54)",100%,1033px,15051px
latin american classical piano,"rgb(33, 164, 206)",100%,577px,21753px
musique soninke,"rgb(153, 132, 28)",100%,1125px,14329px
irish experimental,"rgb(94, 136, 123)",100%,359px,14779px
naturjodel,"rgb(48, 173, 47)",100%,309px,20560px
taiwan graduation song,"rgb(128, 152, 13)",100%,483px,12439px
viola,"rgb(35, 163, 142)",100%,328px,21627px
indie catracho,"rgb(152, 142, 71)",100%,771px,7873px
brazilian post-rock,"rgb(134, 139, 188)",100%,367px,12400px
rock abc paulista,"rgb(214, 92, 48)",100%,296px,8882px
romanian contemporary classical,"rgb(35, 157, 142)",100%,375px,21088px
chill-out trance,"rgb(162, 149, 186)",100%,684px,3042px
mexican electronic,"rgb(159, 140, 145)",100%,1006px,3518px
deep northern soul,"rgb(146, 128, 15)",100%,768px,11004px
deep orgcore,"rgb(220, 83, 42)",100%,260px,9773px
polish metalcore,"rgb(230, 78, 65)",100%,174px,4563px
stubenmusik,"rgb(68, 173, 155)",100%,1110px,18998px
french contemporary classical,"rgb(37, 143, 136)",100%,296px,20388px
indie tucumano,"rgb(157, 135, 40)",100%,511px,9018px
gayageum,"rgb(46, 163, 151)",100%,1198px,19670px
glass,"rgb(29, 179, 132)",100%,307px,19572px
kantele,"rgb(63, 166, 57)",100%,545px,17219px
cimbalova muzika,"rgb(70, 166, 15)",100%,500px,19785px
egyptian traditional,"rgb(125, 130, 108)",100%,837px,16673px
folclore navarra,"rgb(86, 150, 24)",100%,809px,18510px
esperanto,"rgb(131, 142, 23)",100%,789px,11411px
nordic orchestra,"rgb(44, 151, 147)",100%,221px,20072px
indian techno,"rgb(186, 142, 206)",100%,1254px,812px
liberian pop,"rgb(179, 141, 11)",100%,1152px,5832px
belfast indie,"rgb(160, 130, 83)",100%,359px,8464px
sarangi,"rgb(113, 140, 56)",100%,483px,16702px
greek clarinet,"rgb(126, 150, 71)",100%,498px,15612px
italian bass,"rgb(63, 142, 36)",100%,413px,21627px
historic orchestral performance,"rgb(49, 147, 145)",100%,275px,21508px
portuguese post-rock,"rgb(133, 144, 181)",100%,277px,11398px
african experimental,"rgb(132, 139, 158)",100%,550px,12018px
austrian classical piano,"rgb(33, 162, 202)",100%,572px,21937px
marsmuziek,"rgb(108, 115, 176)",100%,572px,18637px
proto-rap,"rgb(187, 101, 46)",100%,1287px,4719px
italian industrial,"rgb(154, 103, 129)",100%,247px,11164px
pinoy traditional,"rgb(125, 140, 113)",100%,900px,13987px
musique traditionnelle congolaise,"rgb(133, 136, 63)",100%,987px,13938px
vintage old-time,"rgb(85, 148, 57)",100%,942px,20060px
musica londrinense,"rgb(159, 134, 55)",100%,844px,8536px
jazz composition,"rgb(89, 154, 146)",100%,747px,16214px
german grindcore,"rgb(232, 57, 120)",100%,210px,7788px
german choir,"rgb(46, 152, 31)",100%,267px,21161px
chinese wind,"rgb(50, 172, 137)",100%,363px,19957px
hipco,"rgb(179, 128, 7)",100%,1105px,10369px
metal cristao,"rgb(216, 82, 61)",100%,219px,7714px
musica piemonteisa,"rgb(113, 150, 61)",100%,952px,14402px
italian occult psychedelia,"rgb(133, 121, 178)",100%,256px,12451px
orkiestra symfoniczna,"rgb(48, 153, 136)",100%,225px,20763px
garo pop,"rgb(134, 154, 25)",100%,789px,8181px
dogri pop,"rgb(179, 126, 1)",100%,861px,8377px
aghani lil-atfal,"rgb(136, 139, 33)",100%,1027px,12701px
thai psychedelic,"rgb(156, 123, 60)",100%,756px,14827px
zohioliin duu,"rgb(133, 153, 9)",100%,463px,12761px
maltese metal,"rgb(222, 71, 107)",100%,95px,8464px
czech classical piano,"rgb(27, 168, 187)",100%,449px,22167px
grunge brasileiro,"rgb(194, 113, 44)",100%,356px,6425px
oxford choir,"rgb(53, 157, 58)",100%,147px,21179px
experimental dubstep,"rgb(196, 128, 144)",100%,1068px,1297px
taiwan experimental,"rgb(136, 125, 128)",100%,522px,12786px
ethiopian traditional,"rgb(75, 149, 49)",100%,861px,19125px
georgian polyphony,"rgb(48, 165, 38)",100%,165px,21954px
alpenpanorama,"rgb(60, 175, 185)",100%,975px,19113px
dweilorkest,"rgb(156, 103, 109)",100%,756px,13826px
cimbalom,"rgb(111, 151, 107)",100%,706px,17649px
ethnomusicology,"rgb(86, 132, 75)",100%,910px,18194px
chakma pop,"rgb(160, 145, 0)",100%,809px,7517px
band organ,"rgb(97, 155, 134)",100%,541px,15919px
cante alentejano,"rgb(58, 156, 95)",100%,613px,20060px
icelandic choir,"rgb(55, 152, 27)",100%,264px,19888px
belfast metal,"rgb(214, 93, 67)",100%,166px,8241px
czech swing,"rgb(69, 143, 70)",100%,837px,20113px
karelian folk,"rgb(121, 145, 34)",100%,595px,13986px
indonesian black metal,"rgb(213, 78, 135)",100%,161px,8646px
landler,"rgb(116, 167, 102)",100%,906px,15310px
thai traditional,"rgb(82, 163, 108)",100%,800px,18781px
turkmen hip hop,"rgb(154, 145, 10)",100%,1057px,7393px
french orchestra,"rgb(49, 145, 129)",100%,317px,20519px
jota aragonesa,"rgb(81, 152, 48)",100%,831px,18793px
lion city hardcore,"rgb(223, 86, 41)",100%,232px,6785px
persian poetry,"rgb(53, 155, 32)",100%,610px,19055px
classical piano trio,"rgb(29, 163, 135)",100%,379px,21868px
trecento,"rgb(26, 175, 64)",100%,243px,21614px
karntner volksmusik,"rgb(45, 162, 27)",100%,298px,21333px
chaotic black metal,"rgb(189, 79, 145)",100%,118px,11015px
malaysian traditional,"rgb(120, 141, 85)",100%,811px,12574px
latvian metal,"rgb(215, 89, 83)",100%,212px,5329px
portuguese hardcore,"rgb(230, 73, 65)",100%,223px,7983px
magyar kabare,"rgb(144, 101, 2)",100%,1004px,15039px
