genre,font_size,color,colors_rgb,top,left
rozpravky,100%,#6d8201,"rgb(109, 130, 1)",15142px,1000px
gwoka,100%,#ae7236,"rgb(174, 114, 54)",13379px,1031px
slc hardcore,100%,#db5053,"rgb(219, 80, 83)",9365px,236px
early french punk,100%,#ca6329,"rgb(202, 99, 41)",7507px,516px
deep swedish rock,100%,#c46b12,"rgb(196, 107, 18)",7184px,385px
moravian folk,100%,#48a30e,"rgb(72, 163, 14)",20060px,468px
christian doom metal,100%,#b76f4d,"rgb(183, 111, 77)",10500px,239px
gypsy,100%,#6d965d,"rgb(109, 150, 93)",17276px,622px
australian rockabilly,100%,#bc7014,"rgb(188, 112, 20)",11521px,656px
guggenmusik,100%,#d63a96,"rgb(214, 58, 150)",13838px,579px
electroacoustic composition,100%,#516777,"rgb(81, 103, 119)",18120px,377px
musica campineira,100%,#8e8d19,"rgb(142, 141, 25)",10879px,602px
modern performance,100%,#2e9479,"rgb(46, 148, 121)",19773px,348px
saxony metal,100%,#da5853,"rgb(218, 88, 83)",6635px,199px
modern downshift,100%,#c9700f,"rgb(201, 112, 15)",5063px,391px
prank,100%,#795c08,"rgb(121, 92, 8)",19801px,1263px
finnish techno,100%,#b286d0,"rgb(178, 134, 208)",1593px,1083px
kosovan folk,100%,#8f8d0c,"rgb(143, 141, 12)",15136px,474px
welsh choir,100%,#318630,"rgb(49, 134, 48)",21651px,148px
bohol indie,100%,#948b0e,"rgb(148, 139, 14)",8008px,589px
deep hardcore,100%,#ca7291,"rgb(202, 114, 145)",1578px,928px
ceske chvaly,100%,#87940c,"rgb(135, 148, 12)",10379px,610px
mising pop,100%,#aa9000,"rgb(170, 144, 0)",10169px,782px
guqin,100%,#1c9a87,"rgb(28, 154, 135)",21696px,966px
indie nica,100%,#8e8f3e,"rgb(142, 143, 62)",7357px,800px
humour francais,100%,#7e6002,"rgb(126, 96, 2)",19843px,1110px
trombone brasileiro,100%,#77919d,"rgb(119, 145, 157)",15653px,975px
new england experimental,100%,#727cac,"rgb(114, 124, 172)",14333px,379px
modern free jazz,100%,#528d84,"rgb(82, 141, 132)",18080px,640px
punk tico,100%,#e05c18,"rgb(224, 92, 24)",7581px,363px
somatik techno,100%,#a68db2,"rgb(166, 141, 178)",2131px,1103px
vapor house,100%,#b6807e,"rgb(182, 128, 126)",2896px,1035px
kikuyu gospel,100%,#b78302,"rgb(183, 131, 2)",7480px,979px
djembe,100%,#9a7b9b,"rgb(154, 123, 155)",15394px,1256px
dytyachi pisni,100%,#948f09,"rgb(148, 143, 9)",8061px,877px
rock dominicano,100%,#c76727,"rgb(199, 103, 39)",8894px,393px
normal indie,100%,#928236,"rgb(146, 130, 54)",11338px,529px
sound collage,100%,#856b5c,"rgb(133, 107, 92)",14739px,628px
lincoln ne indie,100%,#9c8225,"rgb(156, 130, 37)",10707px,468px
detskie rasskazy,100%,#377e01,"rgb(55, 126, 1)",19400px,1263px
belgian experimental,100%,#638da2,"rgb(99, 141, 162)",14604px,461px
bandura,100%,#579c4d,"rgb(87, 156, 77)",17592px,502px
bulgarian metal,100%,#cf634a,"rgb(207, 99, 74)",7060px,258px
czsk black metal,100%,#d9456b,"rgb(217, 69, 107)",8979px,95px
chill groove,100%,#9695b6,"rgb(150, 149, 182)",3543px,1057px
lithuanian jazz,100%,#5c9162,"rgb(92, 145, 98)",16415px,759px
moorish traditional,100%,#7d822b,"rgb(125, 130, 43)",14487px,940px
neo-trad doom metal,100%,#b57440,"rgb(181, 116, 64)",11089px,227px
black noise,100%,#b81da9,"rgb(184, 29, 169)",12082px,29px
classical bass,100%,#369031,"rgb(54, 144, 49)",21557px,403px
turkish black metal,100%,#ba5d9a,"rgb(186, 93, 154)",9488px,188px
finnish contemporary classical,100%,#1d987f,"rgb(29, 152, 127)",21398px,184px
rock sul-mato-grossense,100%,#c07220,"rgb(192, 114, 32)",6848px,491px
metal galego,100%,#e24e52,"rgb(226, 78, 82)",6610px,192px
norwegian choir,100%,#2ca047,"rgb(44, 160, 71)",20675px,163px
idaho hip hop,100%,#988b09,"rgb(152, 139, 9)",9151px,1064px
polish noise rock,100%,#ae7079,"rgb(174, 112, 121)",10868px,284px
field recording,100%,#5c5b9a,"rgb(92, 91, 154)",17104px,262px
recorder,100%,#25a96e,"rgb(37, 169, 110)",19801px,455px
historic classical performance,100%,#24a3aa,"rgb(36, 163, 170)",21724px,768px
portuguese contemporary classical,100%,#27a083,"rgb(39, 160, 131)",20727px,416px
brazilian grindcore,100%,#e92a6d,"rgb(233, 42, 109)",10966px,148px
santur,100%,#6497b3,"rgb(100, 151, 179)",18481px,541px
folclore extremeno,100%,#888614,"rgb(136, 134, 20)",13656px,886px
organetto,100%,#979183,"rgb(151, 145, 131)",12938px,1074px
orkney and shetland folk,100%,#62a358,"rgb(98, 163, 88)",17506px,511px
slovak metal,100%,#dd575b,"rgb(221, 87, 91)",6848px,230px
brazilian surf rock,100%,#cf6c82,"rgb(207, 108, 130)",7532px,401px
cuatro puertorriqueno,100%,#899037,"rgb(137, 144, 55)",13876px,987px
soda pop,100%,#81820b,"rgb(129, 130, 11)",15000px,674px
jazz caraibes,100%,#868f7f,"rgb(134, 143, 127)",14795px,914px
brass quintet,100%,#2aa6d3,"rgb(42, 166, 211)",20751px,543px
ladakhi pop,100%,#8e940b,"rgb(142, 148, 11)",5646px,822px
classical baritone,100%,#35911f,"rgb(53, 145, 31)",21210px,432px
ukrainian choir,100%,#329832,"rgb(50, 152, 50)",22040px,83px
mexican power metal,100%,#d16729,"rgb(209, 103, 41)",6697px,252px
string orchestra,100%,#2ca892,"rgb(44, 168, 146)",19785px,311px
quebec metal,100%,#e1512f,"rgb(225, 81, 47)",5712px,294px
folklore panameno,100%,#a88016,"rgb(168, 128, 22)",14903px,950px
deep hardcore punk,100%,#d4522f,"rgb(212, 82, 47)",10683px,338px
malawian folk,100%,#739110,"rgb(115, 145, 16)",14451px,1000px
twin cities indie,100%,#9b8222,"rgb(155, 130, 34)",9562px,516px
deep neo-synthpop,100%,#c48351,"rgb(196, 131, 81)",1363px,651px
metal paraguayo,100%,#dd513e,"rgb(221, 81, 62)",8805px,234px
baroque singing,100%,#0bb592,"rgb(11, 181, 146)",18654px,413px
deep motown,100%,#9c7d11,"rgb(156, 125, 17)",14359px,742px
russian screamo,100%,#cf6741,"rgb(207, 103, 65)",9228px,232px
italian classical guitar,100%,#32add7,"rgb(50, 173, 215)",20031px,922px
antilliaanse folklore,100%,#898d39,"rgb(137, 141, 57)",13355px,1008px
cathedral choir,100%,#21983d,"rgb(33, 152, 61)",21609px,71px
czech hardcore,100%,#e35719,"rgb(227, 87, 25)",5501px,328px
polish classical piano,100%,#1ca5d7,"rgb(28, 165, 215)",22241px,507px
italian rockabilly,100%,#bf722c,"rgb(191, 114, 44)",10182px,724px
korean traditional,100%,#38986e,"rgb(56, 152, 110)",19010px,904px
bury st edmunds indie,100%,#b16b36,"rgb(177, 107, 54)",11003px,352px
british electroacoustic,100%,#44867b,"rgb(68, 134, 123)",17690px,350px
h8000,100%,#d55c3f,"rgb(213, 92, 63)",10917px,298px
gong,100%,#75939b,"rgb(117, 147, 155)",17850px,826px
czech jazz,100%,#55988b,"rgb(85, 152, 139)",17219px,756px
gospel papiamento,100%,#a19205,"rgb(161, 146, 5)",7404px,784px
palm wine guitar,100%,#888436,"rgb(136, 132, 54)",15051px,1033px
latin american classical piano,100%,#21a4ce,"rgb(33, 164, 206)",21753px,577px
musique soninke,100%,#99841c,"rgb(153, 132, 28)",14329px,1125px
irish experimental,100%,#5e887b,"rgb(94, 136, 123)",14779px,359px
naturjodel,100%,#30ad2f,"rgb(48, 173, 47)",20560px,309px
taiwan graduation song,100%,#80980d,"rgb(128, 152, 13)",12439px,483px
viola,100%,#23a38e,"rgb(35, 163, 142)",21627px,328px
indie catracho,100%,#988e47,"rgb(152, 142, 71)",7873px,771px
brazilian post-rock,100%,#868bbc,"rgb(134, 139, 188)",12400px,367px
rock abc paulista,100%,#d65c30,"rgb(214, 92, 48)",8882px,296px
romanian contemporary classical,100%,#239d8e,"rgb(35, 157, 142)",21088px,375px
chill-out trance,100%,#a295ba,"rgb(162, 149, 186)",3042px,684px
mexican electronic,100%,#9f8c91,"rgb(159, 140, 145)",3518px,1006px
deep northern soul,100%,#92800f,"rgb(146, 128, 15)",11004px,768px
deep orgcore,100%,#dc532a,"rgb(220, 83, 42)",9773px,260px
polish metalcore,100%,#e64e41,"rgb(230, 78, 65)",4563px,174px
stubenmusik,100%,#44ad9b,"rgb(68, 173, 155)",18998px,1110px
french contemporary classical,100%,#258f88,"rgb(37, 143, 136)",20388px,296px
indie tucumano,100%,#9d8728,"rgb(157, 135, 40)",9018px,511px
gayageum,100%,#2ea397,"rgb(46, 163, 151)",19670px,1198px
glass,100%,#1db384,"rgb(29, 179, 132)",19572px,307px
kantele,100%,#3fa639,"rgb(63, 166, 57)",17219px,545px
cimbalova muzika,100%,#46a60f,"rgb(70, 166, 15)",19785px,500px
egyptian traditional,100%,#7d826c,"rgb(125, 130, 108)",16673px,837px
folclore navarra,100%,#569618,"rgb(86, 150, 24)",18510px,809px
esperanto,100%,#838e17,"rgb(131, 142, 23)",11411px,789px
nordic orchestra,100%,#2c9793,"rgb(44, 151, 147)",20072px,221px
indian techno,100%,#ba8ece,"rgb(186, 142, 206)",812px,1254px
liberian pop,100%,#b38d0b,"rgb(179, 141, 11)",5832px,1152px
belfast indie,100%,#a08253,"rgb(160, 130, 83)",8464px,359px
sarangi,100%,#718c38,"rgb(113, 140, 56)",16702px,483px
greek clarinet,100%,#7e9647,"rgb(126, 150, 71)",15612px,498px
italian bass,100%,#3f8e24,"rgb(63, 142, 36)",21627px,413px
historic orchestral performance,100%,#319391,"rgb(49, 147, 145)",21508px,275px
portuguese post-rock,100%,#8590b5,"rgb(133, 144, 181)",11398px,277px
african experimental,100%,#848b9e,"rgb(132, 139, 158)",12018px,550px
austrian classical piano,100%,#21a2ca,"rgb(33, 162, 202)",21937px,572px
marsmuziek,100%,#6c73b0,"rgb(108, 115, 176)",18637px,572px
proto-rap,100%,#bb652e,"rgb(187, 101, 46)",4719px,1287px
italian industrial,100%,#9a6781,"rgb(154, 103, 129)",11164px,247px
pinoy traditional,100%,#7d8c71,"rgb(125, 140, 113)",13987px,900px
musique traditionnelle congolaise,100%,#85883f,"rgb(133, 136, 63)",13938px,987px
vintage old-time,100%,#559439,"rgb(85, 148, 57)",20060px,942px
musica londrinense,100%,#9f8637,"rgb(159, 134, 55)",8536px,844px
jazz composition,100%,#599a92,"rgb(89, 154, 146)",16214px,747px
german grindcore,100%,#e83978,"rgb(232, 57, 120)",7788px,210px
german choir,100%,#2e981f,"rgb(46, 152, 31)",21161px,267px
chinese wind,100%,#32ac89,"rgb(50, 172, 137)",19957px,363px
hipco,100%,#b38007,"rgb(179, 128, 7)",10369px,1105px
metal cristao,100%,#d8523d,"rgb(216, 82, 61)",7714px,219px
musica piemonteisa,100%,#71963d,"rgb(113, 150, 61)",14402px,952px
italian occult psychedelia,100%,#8579b2,"rgb(133, 121, 178)",12451px,256px
orkiestra symfoniczna,100%,#309988,"rgb(48, 153, 136)",20763px,225px
garo pop,100%,#869a19,"rgb(134, 154, 25)",8181px,789px
dogri pop,100%,#b37e01,"rgb(179, 126, 1)",8377px,861px
aghani lil-atfal,100%,#888b21,"rgb(136, 139, 33)",12701px,1027px
thai psychedelic,100%,#9c7b3c,"rgb(156, 123, 60)",14827px,756px
zohioliin duu,100%,#859909,"rgb(133, 153, 9)",12761px,463px
maltese metal,100%,#de476b,"rgb(222, 71, 107)",8464px,95px
czech classical piano,100%,#1ba8bb,"rgb(27, 168, 187)",22167px,449px
grunge brasileiro,100%,#c2712c,"rgb(194, 113, 44)",6425px,356px
oxford choir,100%,#359d3a,"rgb(53, 157, 58)",21179px,147px
experimental dubstep,100%,#c48090,"rgb(196, 128, 144)",1297px,1068px
taiwan experimental,100%,#887d80,"rgb(136, 125, 128)",12786px,522px
ethiopian traditional,100%,#4b9531,"rgb(75, 149, 49)",19125px,861px
georgian polyphony,100%,#30a526,"rgb(48, 165, 38)",21954px,165px
alpenpanorama,100%,#3cafb9,"rgb(60, 175, 185)",19113px,975px
dweilorkest,100%,#9c676d,"rgb(156, 103, 109)",13826px,756px
cimbalom,100%,#6f976b,"rgb(111, 151, 107)",17649px,706px
ethnomusicology,100%,#56844b,"rgb(86, 132, 75)",18194px,910px
chakma pop,100%,#a09100,"rgb(160, 145, 0)",7517px,809px
band organ,100%,#619b86,"rgb(97, 155, 134)",15919px,541px
cante alentejano,100%,#3a9c5f,"rgb(58, 156, 95)",20060px,613px
icelandic choir,100%,#37981b,"rgb(55, 152, 27)",19888px,264px
belfast metal,100%,#d65d43,"rgb(214, 93, 67)",8241px,166px
czech swing,100%,#458f46,"rgb(69, 143, 70)",20113px,837px
karelian folk,100%,#799122,"rgb(121, 145, 34)",13986px,595px
indonesian black metal,100%,#d54e87,"rgb(213, 78, 135)",8646px,161px
landler,100%,#74a766,"rgb(116, 167, 102)",15310px,906px
thai traditional,100%,#52a36c,"rgb(82, 163, 108)",18781px,800px
turkmen hip hop,100%,#9a910a,"rgb(154, 145, 10)",7393px,1057px
french orchestra,100%,#319181,"rgb(49, 145, 129)",20519px,317px
jota aragonesa,100%,#519830,"rgb(81, 152, 48)",18793px,831px
lion city hardcore,100%,#df5629,"rgb(223, 86, 41)",6785px,232px
persian poetry,100%,#359b20,"rgb(53, 155, 32)",19055px,610px
classical piano trio,100%,#1da387,"rgb(29, 163, 135)",21868px,379px
trecento,100%,#1aaf40,"rgb(26, 175, 64)",21614px,243px
karntner volksmusik,100%,#2da21b,"rgb(45, 162, 27)",21333px,298px
chaotic black metal,100%,#bd4f91,"rgb(189, 79, 145)",11015px,118px
malaysian traditional,100%,#788d55,"rgb(120, 141, 85)",12574px,811px
latvian metal,100%,#d75953,"rgb(215, 89, 83)",5329px,212px
portuguese hardcore,100%,#e64941,"rgb(230, 73, 65)",7983px,223px
magyar kabare,100%,#906502,"rgb(144, 101, 2)",15039px,1004px
deep delta blues,100%,#429336,"rgb(66, 147, 54)",20962px,916px
spanish black metal,100%,#d63a91,"rgb(214, 58, 145)",9647px,41px
moroccan traditional,100%,#7a8658,"rgb(122, 134, 88)",15359px,922px
classical oboe,100%,#27a3a0,"rgb(39, 163, 160)",19862px,375px
ho munda,100%,#d96e13,"rgb(217, 110, 19)",3854px,861px
spoken word,100%,#887a0a,"rgb(136, 122, 10)",13527px,1044px
northumbrian folk,100%,#4da55c,"rgb(77, 165, 92)",17858px,865px
botswana hip hop,100%,#889604,"rgb(136, 150, 4)",11795px,1044px
cosmic uplifting trance,100%,#e074ad,"rgb(224, 116, 173)",990px,602px
venezuelan metal,100%,#df5453,"rgb(223, 84, 83)",6647px,269px
pansori,100%,#4a9314,"rgb(74, 147, 20)",17477px,1055px
luxembourgian electronic,100%,#bc8bae,"rgb(188, 139, 174)",1088px,1170px
hip hop mauritanien,100%,#a29102,"rgb(162, 145, 2)",9438px,1055px
afrikaans folk,100%,#769615,"rgb(118, 150, 21)",13048px,777px
czech psychedelic,100%,#9e8273,"rgb(158, 130, 115)",10810px,317px
turkish hardcore,100%,#df4743,"rgb(223, 71, 67)",9513px,225px
baltic black metal,100%,#d24a77,"rgb(210, 74, 119)",8883px,99px
danish choir,100%,#1da12d,"rgb(29, 161, 45)",21545px,204px
rock paraense,100%,#c8682a,"rgb(200, 104, 42)",6635px,350px
maldivian pop,100%,#998a3a,"rgb(153, 138, 58)",7258px,789px
deep southern soul,100%,#81850e,"rgb(129, 133, 14)",12810px,865px
deep indie rock,100%,#a58228,"rgb(165, 130, 40)",7394px,483px
tatar folk,100%,#51a11a,"rgb(81, 161, 26)",17427px,577px
folklore quebecois,100%,#9d8a3c,"rgb(157, 138, 60)",14690px,1002px
post-rock latinoamericano,100%,#968cb0,"rgb(150, 140, 176)",10671px,275px
swazi hip hop,100%,#8c9911,"rgb(140, 153, 17)",11436px,1076px
italian baritone,100%,#3e8c1d,"rgb(62, 140, 29)",21696px,385px
portuguese experimental,100%,#6e82a4,"rgb(110, 130, 164)",14183px,518px
troubadour,100%,#239b19,"rgb(35, 155, 25)",20088px,557px
experimental poetry,100%,#45702c,"rgb(69, 112, 44)",17100px,950px
irish death metal,100%,#e23d79,"rgb(226, 61, 121)",8427px,109px
song poem,100%,#6e8426,"rgb(110, 132, 38)",15497px,773px
spanish contemporary classical,100%,#269d8e,"rgb(38, 157, 142)",20605px,354px
cryptic black metal,100%,#d8309b,"rgb(216, 48, 155)",10574px,21px
lagu jambi,100%,#c48c16,"rgb(196, 140, 22)",3182px,742px
metal uruguayo,100%,#d3602f,"rgb(211, 96, 47)",6561px,252px
italian heavy metal,100%,#db5a1a,"rgb(219, 90, 26)",5774px,251px
shehnai,100%,#877daa,"rgb(135, 125, 170)",18781px,511px
santa fe indie,100%,#848d4a,"rgb(132, 141, 74)",12043px,548px
vintage gospel,100%,#4a821e,"rgb(74, 130, 30)",21409px,842px
frevo,100%,#9c7537,"rgb(156, 117, 55)",12487px,813px
nadaswaram,100%,#b452e6,"rgb(180, 82, 230)",17333px,833px
central american metal,100%,#dc5447,"rgb(220, 84, 71)",7971px,277px
classical guitar duo,100%,#2bacc4,"rgb(43, 172, 196)",21150px,966px
latin american baroque,100%,#28a446,"rgb(40, 164, 70)",20715px,344px
indie nordeste argentino,100%,#9d8821,"rgb(157, 136, 33)",10071px,541px
hard chime,100%,#af7d18,"rgb(175, 125, 24)",7934px,411px
fife and drum,100%,#795fc0,"rgb(121, 95, 192)",13466px,1070px
baoule,100%,#bc7910,"rgb(188, 121, 16)",7082px,1118px
musica roraimense,100%,#918f32,"rgb(145, 143, 50)",7910px,782px
tibetan folk pop,100%,#719442,"rgb(113, 148, 66)",12476px,461px
chinese black metal,100%,#c25d8d,"rgb(194, 93, 141)",8168px,115px
accordion band,100%,#6f8d76,"rgb(111, 141, 118)",13580px,411px
metal baiano,100%,#e14566,"rgb(225, 69, 102)",9316px,184px
zomi pop,100%,#8d960f,"rgb(141, 150, 15)",8697px,651px
danish contemporary classical,100%,#1ca086,"rgb(28, 160, 134)",20970px,328px
metal balear,100%,#dc583a,"rgb(220, 88, 58)",5835px,243px
suomisaundi,100%,#da7daf,"rgb(218, 125, 175)",789px,993px
appenzeller folk,100%,#77a439,"rgb(119, 164, 57)",14888px,507px
harmonikka,100%,#579d5a,"rgb(87, 157, 90)",15841px,739px
metal cearense,100%,#ea3a46,"rgb(234, 58, 70)",9598px,163px
deep latin jazz,100%,#848f95,"rgb(132, 143, 149)",14244px,922px
grunge argentina,100%,#c76e19,"rgb(199, 110, 25)",5910px,300px
korean hardcore,100%,#e04851,"rgb(224, 72, 81)",8830px,243px
police band,100%,#837792,"rgb(131, 119, 146)",15439px,251px
rock cristao fluminense,100%,#bf7614,"rgb(191, 118, 20)",6180px,311px
portuguese early music,100%,#2ea25f,"rgb(46, 162, 95)",20922px,309px
inuit traditional,100%,#6b7b44,"rgb(107, 123, 68)",15571px,752px
brazilian classical piano,100%,#23a6dc,"rgb(35, 166, 220)",21925px,687px
indonesian electronic,100%,#b391be,"rgb(179, 145, 190)",1763px,1109px
irish modern jazz,100%,#589a5d,"rgb(88, 154, 93)",16456px,690px
south african techno,100%,#ae8db9,"rgb(174, 141, 185)",1937px,1132px
korean minyo,100%,#589416,"rgb(88, 148, 22)",17965px,577px
alternative hardcore,100%,#d45e42,"rgb(212, 94, 66)",8451px,457px
dizi,100%,#3da948,"rgb(61, 169, 72)",17592px,420px
baltic choir,100%,#229d3e,"rgb(34, 157, 62)",21675px,109px
balochi folk,100%,#bd7416,"rgb(189, 116, 22)",11300px,920px
jugendchor,100%,#3a9707,"rgb(58, 151, 7)",19744px,359px
luxembourgian metal,100%,#d56160,"rgb(213, 97, 96)",5538px,243px
sacred harp,100%,#4c7404,"rgb(76, 116, 4)",20576px,802px
mexican black metal,100%,#d73d83,"rgb(215, 61, 131)",11448px,52px
classical contralto,100%,#2fa31b,"rgb(47, 163, 27)",21995px,409px
traditional irish singing,100%,#1aa80a,"rgb(26, 168, 10)",20835px,962px
yiddish folk,100%,#4b9828,"rgb(75, 152, 40)",19601px,930px
vietnamese traditional,100%,#4c9d60,"rgb(76, 157, 96)",16312px,809px
euphonium,100%,#1aacdb,"rgb(26, 172, 219)",20824px,449px
kamba pop,100%,#b68311,"rgb(182, 131, 17)",12663px,1090px
hard stoner rock,100%,#c46b42,"rgb(196, 107, 66)",10195px,294px
marathi balgeet,100%,#7a8b12,"rgb(122, 139, 18)",15014px,977px
musica amapaense,100%,#a0880b,"rgb(160, 136, 11)",9810px,768px
italian orchestra,100%,#379543,"rgb(55, 149, 67)",21161px,371px
malian traditional,100%,#908551,"rgb(144, 133, 81)",16083px,1088px
jaw harp,100%,#647f82,"rgb(100, 127, 130)",17460px,777px
musique traditionnelle comorienne,100%,#859409,"rgb(133, 148, 9)",13244px,916px
ainu folk,100%,#6b933b,"rgb(107, 147, 59)",13791px,967px
galician jazz,100%,#5b9a80,"rgb(91, 154, 128)",15956px,664px
punk ska,100%,#c96a16,"rgb(201, 106, 22)",7774px,582px
nordnorsk ponk,100%,#d45a46,"rgb(212, 90, 70)",8793px,241px
south african dnb,100%,#d77284,"rgb(215, 114, 132)",2550px,861px
minnesang,100%,#1da622,"rgb(29, 166, 34)",20835px,522px
trouvere,100%,#299721,"rgb(41, 151, 33)",19629px,536px
musica sinfonica,100%,#569985,"rgb(86, 153, 133)",18338px,324px
ghanaian traditional,100%,#887957,"rgb(136, 121, 87)",13825px,1182px
tanzanian traditional,100%,#788821,"rgb(120, 136, 33)",16128px,793px
classical guitar quartet,100%,#28a7dc,"rgb(40, 167, 220)",21007px,989px
alphorn,100%,#63a39d,"rgb(99, 163, 157)",15124px,522px
black metal argentino,100%,#cc5383,"rgb(204, 83, 131)",8683px,138px
ars subtilior,100%,#17b14e,"rgb(23, 177, 78)",21839px,206px
industrial noise,100%,#a754bc,"rgb(167, 84, 188)",11881px,204px
puerto rican metal,100%,#d35744,"rgb(211, 87, 68)",10121px,223px
estonian jazz,100%,#579d77,"rgb(87, 157, 119)",16559px,690px
uyghur folk,100%,#7a9132,"rgb(122, 145, 50)",13570px,742px
bulgarian experimental,100%,#7c7db3,"rgb(124, 125, 179)",12388px,397px
rock nacional feminino,100%,#b17b27,"rgb(177, 123, 39)",7084px,271px
french rockabilly,100%,#a87b11,"rgb(168, 123, 17)",12240px,704px
central asian folk,100%,#4d9d51,"rgb(77, 157, 81)",18051px,730px
huqin,100%,#37a689,"rgb(55, 166, 137)",19945px,352px
montana metal,100%,#d7574f,"rgb(215, 87, 79)",7515px,219px
chilean black metal,100%,#ce437d,"rgb(206, 67, 125)",11040px,88px
kadongo kamu,100%,#b38610,"rgb(179, 134, 16)",9301px,1040px
iranian metal,100%,#cf5a6b,"rgb(207, 90, 107)",6873px,184px
musica urbana oaxaquena,100%,#82980e,"rgb(130, 152, 14)",8099px,1105px
czech contemporary classical,100%,#269d7d,"rgb(38, 157, 125)",20702px,344px
kazakh traditional,100%,#68987c,"rgb(104, 152, 124)",15101px,839px
polish experimental,100%,#7c80a3,"rgb(124, 128, 163)",12899px,338px
caribbean metal,100%,#dd5241,"rgb(221, 82, 65)",9043px,273px
austrian choir,100%,#2f9d28,"rgb(47, 157, 40)",21271px,262px
animal singing,100%,#1cadd1,"rgb(28, 173, 209)",17563px,833px
school choir,100%,#4b9218,"rgb(75, 146, 24)",17104px,416px
romanian classical piano,100%,#22a6d9,"rgb(34, 166, 217)",22069px,541px
hawaiian punk,100%,#cb5527,"rgb(203, 85, 39)",11350px,397px
necrogrind,100%,#e42c8a,"rgb(228, 44, 138)",9610px,136px
canto a tenore,100%,#4d8405,"rgb(77, 132, 5)",20634px,555px
musica mogiana,100%,#7e921b,"rgb(126, 146, 27)",12761px,879px
jewish cantorial,100%,#3c9b10,"rgb(60, 155, 16)",22007px,298px
classical bassoon,100%,#25a4ba,"rgb(37, 164, 186)",20416px,409px
baltic classical piano,100%,#18a8c4,"rgb(24, 168, 196)",22155px,498px
cypriot metal,100%,#dc5e3e,"rgb(220, 94, 62)",6314px,194px
ethereal gothic,100%,#9b884d,"rgb(155, 136, 77)",6315px,440px
metis fiddle,100%,#7d9c62,"rgb(125, 156, 98)",12975px,732px
taarab,100%,#988516,"rgb(152, 133, 22)",13491px,574px
deep indie pop,100%,#9d8032,"rgb(157, 128, 50)",11398px,459px
new zealand classical,100%,#319a85,"rgb(49, 154, 133)",19084px,487px
dark electro-industrial,100%,#d26b78,"rgb(210, 107, 120)",1535px,595px
balkan classical piano,100%,#2ca1c8,"rgb(44, 161, 200)",21651px,449px
